,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
93,BMW 3 Series 316i,"$46,000","$16,960 /yr",26-Aug-2014,"1,598 cc","42,816 km",Luxury
94,Mazda 8 2.3A,"$45,800","$15,990 /yr",01-Oct-2014,"2,261 cc","103,230 km",MPV
95,BMW X2 sDrive18i M-Sport Lite,"$153,800","$17,000 /yr",09-Jun-2020,"1,499 cc","27,500 km",SUV
96,Nissan GTR 3.8A (COE till 02/2029),"$249,800","$38,490 /yr",03-Aug-2009,"3,799 cc","119,235 km",Sports
97,Porsche Macan 2.0A PDK,"$297,800","$31,980 /yr",29-Jul-2020,"1,984 cc","20,000 km",SUV
98,Honda Vezel Hybrid 1.5A X,"$74,800","$14,340 /yr",19-Sep-2017,"1,496 cc","77,000 km",SUV
99,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$142,800","$16,400 /yr",27-Jul-2020,"1,595 cc","29,957 km",SUV
100,Toyota Wish 1.8A X (COE till 10/2024),"$29,800","$13,800 /yr",25-Jan-2010,"1,797 cc",-,MPV
101,Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,"$118,800","$16,800 /yr",23-Aug-2018,"1,595 cc","72,244 km",Stationwagon
102,Mercedes-Benz E-Class E250 Exclusive,"$196,800","$23,860 /yr",26-Mar-2019,"1,991 cc","23,333 km",Luxury
103,Mercedes-Benz B-Class B200,"$22,000",N.A,11-Jan-2013,"1,595 cc","119,000 km",Hatchback
104,BMW 5 Series 528i Individual (COE till 10/2031),"$129,800","$14,170 /yr",30-Apr-2012,"1,997 cc","118,000 km",Luxury
105,Honda Jazz 1.3A,"$82,800","$11,370 /yr",05-Sep-2019,"1,318 cc","51,100 km",Hatchback
106,Mitsubishi Fuso Super Great FV70H Tipper,"$149,800",N.A,25-Sep-2019,"10,677 cc",-,Truck
107,Audi A5 Sportback 2.0A TFSI S-tronic Design,"$155,800","$19,520 /yr",28-Jun-2019,"1,984 cc","22,669 km",Luxury
108,Mercedes-Benz GLC-Class GLC250 4MATIC,"$122,800","$24,610 /yr",13-Sep-2016,"1,991 cc","125,200 km",SUV
109,Toyota Vellfire 2.4A X (COE till 03/2032),"$121,800","$12,720 /yr",31-Jul-2012,"2,362 cc","108,200 km",MPV
110,Honda Vezel Hybrid 1.5A X,"$72,888","$13,910 /yr",26-Sep-2017,"1,496 cc","80,838 km",SUV
111,Subaru Forester 2.0A XT Sunroof,"$63,088","$16,340 /yr",29-Dec-2015,"1,998 cc","91,824 km",SUV
112,Honda Freed Hybrid 1.5A G,"$98,688","$15,100 /yr",23-Aug-2018,"1,496 cc","47,500 km",MPV
113,Toyota Dyna 150 3.0M,"$52,800","$13,920 /yr",20-Jun-2016,"2,982 cc","135,218 km",Truck
114,BMW 6 Series 640i Gran Turismo M-Sport Sunroof,"$199,800","$28,010 /yr",08-Nov-2017,"2,998 cc","74,250 km",Luxury
115,Opel Crossland 1.2A X Turbo,"$74,800","$9,690 /yr",13-May-2019,"1,199 cc",-,SUV
116,Mazda CX-5 2.0A Premium (OPC),"$105,800","$14,640 /yr",26-Nov-2018,"1,998 cc","33,125 km",SUV
117,Mitsubishi Fuso Canter FEA01,"$37,800","$12,410 /yr",21-Sep-2015,"2,998 cc",-,Truck
118,Honda Jazz 1.5A RS  (OPC),"$54,800","$11,140 /yr",11-Jan-2017,"1,498 cc","30,000 km",Hatchback
119,BMW 1 Series 116i Luxury,"$139,800","$14,020 /yr",26-Apr-2021,"1,499 cc","1,239 km",Hatchback
120,Mercedes-Benz GLA-Class GLA180 AMG Line,"$153,688","$18,380 /yr",15-Nov-2019,"1,595 cc","38,600 km",SUV
121,Mazda 3 1.5A Deluxe Sunroof,"$51,800","$13,080 /yr",23-Feb-2016,"1,496 cc","96,000 km",Sedan
122,Volvo V40 T2,"$60,800","$12,930 /yr",23-Aug-2016,"1,498 cc","70,000 km",Hatchback
123,Audi A6 2.0A TFSI MU (COE till 10/2031),"$116,800",N.A,28-Nov-2011,"1,984 cc","135,000 km",Luxury
124,Volkswagen Golf Cabriolet 1.4A TSI (COE till 01/2032),"$88,800","$9,490 /yr",10-Jan-2012,"1,390 cc","133,263 km",Sports
125,Mitsubishi Outlander 2.4A Sunroof,"$57,800","$15,430 /yr",12-Oct-2015,"2,360 cc","79,994 km",SUV
126,Volkswagen Jetta Sport 1.4A TSI (COE till 08/2027),"$55,800","$11,180 /yr",28-Sep-2012,"1,390 cc","180,000 km",Sedan
127,Kia Cerato Forte 1.6A SX (COE till 09/2031),"$77,800","$8,580 /yr",28-Sep-2011,"1,591 cc",-,Sedan
128,BMW 2 Series Gran Tourer 218i Sport,"$179,800","$16,040 /yr",30-Jul-2022,"1,499 cc",300 km,MPV
129,Nissan Qashqai 1.2A DIG-T,"$53,600","$13,080 /yr",29-Mar-2016,"1,197 cc","92,000 km",SUV
130,Mercedes-Benz C-Class C200 Mild Hybrid Avantgarde,"$167,888","$20,530 /yr",26-Jul-2019,"1,497 cc","49,000 km",Luxury
131,Toyota Dyna 150 3.0M,"$36,800","$15,880 /yr",29-Dec-2014,"2,982 cc","80,810 km",Truck
132,Mitsubishi Lancer EX 1.5A Elegance (COE till 07/2025),"$32,000","$11,330 /yr",02-Jul-2010,"1,499 cc",-,Sedan
133,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,"$60,800","$15,370 /yr",16-Dec-2015,"1,395 cc","105,000 km",Luxury
134,BMW 3 Series 320i Convertible (COE till 10/2028),"$80,888","$13,190 /yr",21-Oct-2008,"1,995 cc",-,Sports
135,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,"$195,800","$19,880 /yr",01-Apr-2021,"1,332 cc","16,000 km",Luxury
136,Porsche Taycan Electric,"$688,988","$57,180 /yr",30-Jun-2022,-,88 km,Sports
137,Honda Odyssey 2.4A EXV-S Navi Res Sunroof,"$145,800","$18,450 /yr",11-Jul-2019,"2,356 cc","63,100 km",MPV
138,Honda Jazz 1.3A L (COE till 09/2030),"$74,800","$9,260 /yr",01-Nov-2010,"1,339 cc","110,000 km",Hatchback
139,Honda Fit 1.3A G (COE till 06/2024),"$20,800","$11,430 /yr",30-Jun-2009,"1,339 cc",-,Hatchback
140,BMW 3 Series 318i Highline,"$222,888","$21,030 /yr",28-Jan-2022,"1,998 cc","4,978 km",Luxury
141,BMW 3 Series 316i,"$59,888","$18,400 /yr",29-May-2015,"1,598 cc","145,961 km",Luxury
142,Honda HR-V 1.5A DX,"$99,800","$12,950 /yr",02-Aug-2019,"1,496 cc","69,000 km",SUV
143,Honda Fit 1.3A GF,"$113,800","$11,350 /yr",24-Jun-2022,"1,317 cc",88 km,Hatchback
144,BMW 5 Series 523i (COE till 09/2030),"$98,888","$12,250 /yr",29-Sep-2010,"2,497 cc","158,000 km",Luxury
145,Audi A6 2.0A TFSI MU (COE till 04/2031),"$97,888","$11,310 /yr",29-Apr-2011,"1,984 cc","137,686 km",Luxury
